location,ds,yhat,yhat_lower,yhat_upper
India,2021-02-01,31133.272520113966,-8175.987847592,71538.67403509677
India,2021-02-02,29148.225899486868,-8710.045343870002,69956.99941769226
India,2021-02-03,26926.512050374276,-11106.168494251266,68197.3781337966
India,2021-02-04,24498.7645075044,-17078.925833434438,63916.52279007015
India,2021-02-05,21952.332517701154,-18015.070938522604,63943.10519430043
India,2021-02-06,19293.42464441041,-23142.10881180738,57359.367681533375
India,2021-02-07,16636.467755481848,-25534.489219871437,54921.47389890977
India,2021-02-08,13821.240391620637,-27074.10012147339,54467.93886477909
India,2021-02-09,11056.873810368932,-31545.709029795755,50165.673609142264
India,2021-02-10,8296.471179903578,-32673.38890693523,48320.47792921619
India,2021-02-11,5573.2326099095935,-35603.411948303896,44779.16080983849
India,2021-02-12,2972.4137688549336,-36318.92888894415,43593.6136132366
India,2021-02-13,493.58517245823657,-39498.86229986797,35894.23823177293
India,2021-02-14,-1759.7974955837403,-40209.9914828946,35909.55508003073
